,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,var_95,cvar_95
1_sample_mean,0.13052103077615604,0.13665046139461987,0.955145189003327,1.2842847477840544,-0.13962530844470933,-0.014026214134561924,-0.019635249376251527
2_linreg,0.09478389888943291,0.15611308037822022,0.6071489887957939,0.8216976250934622,-0.2601121103104869,-0.016089366471833177,-0.022926927386934096
3_gbt,0.24360206099834586,0.1672166259274446,1.4568052647112073,2.143617092318764,-0.15869719590270104,-0.01344590322084354,-0.021301560557349008
4_lstm,0.12204777357733829,0.11901261627902716,1.0255028197279115,1.418248539708697,-0.12046583377867909,-0.011317163972169586,-0.01595875968323241
