Date,XLK,XLF,XLE,XLY,XLV,XLP,XLI,XLB,XLRE,XLU,XLC
2010-01-04,9.390446662902832,8.988353729248047,17.38109588623047,12.333343505859375,24.083450317382812,17.34787368774414,20.981576919555664,12.069952011108398,21.185571670532227,8.948220252990723,46.472137451171875
2010-01-05,9.378336906433105,9.153562545776367,17.52295684814453,12.37856674194336,23.847272872924805,17.35437774658203,21.055665969848633,12.108983039855957,21.185571670532227,8.841694831848145,46.472137451171875
2010-01-06,9.273417472839355,9.171917915344238,17.7327938079834,12.395011901855469,24.091075897216797,17.341371536254883,21.100112915039062,12.314762115478516,21.185571670532227,8.893516540527344,46.472137451171875
2010-01-07,9.237099647521973,9.367714881896973,17.706193923950195,12.497790336608887,24.174877166748047,17.341371536254883,21.329784393310547,12.218964576721191,21.185571670532227,8.853208541870117,46.472137451171875
2010-01-08,9.29763126373291,9.312647819519043,17.821453094482422,12.493675231933594,24.212970733642578,17.282827377319336,21.670589447021484,12.389265060424805,21.185571670532227,8.844571113586426,46.472137451171875
2010-01-11,9.261308670043945,9.318764686584473,17.797813415527344,12.469008445739746,24.350116729736328,17.32836151123047,21.907669067382812,12.321854591369629,21.185571670532227,8.9367036819458,46.472137451171875
2010-01-12,9.16042709350586,9.18415641784668,17.54068374633789,12.308675765991211,24.174877166748047,17.42593002319336,21.729862213134766,12.087691307067871,21.185571670532227,8.899272918701172,46.472137451171875
2010-01-13,9.249201774597168,9.288174629211426,17.60570526123047,12.448455810546875,24.494871139526367,17.549518585205078,21.81876564025879,12.229605674743652,21.185571670532227,8.997160911560059,46.472137451171875
2010-01-14,9.273417472839355,9.331003189086914,17.655948638916016,12.448455810546875,24.7158145904541,17.497478485107422,21.81876564025879,12.080597877502441,21.185571670532227,8.956859588623047,46.472137451171875
2010-01-15,9.144279479980469,9.141322135925293,17.51409149169922,12.325122833251953,24.548208236694336,17.412927627563477,21.5372371673584,11.991894721984863,21.185571670532227,8.899272918701172,46.472137451171875
2010-01-19,9.301664352416992,9.257582664489746,17.673681259155273,12.489562034606934,25.14247703552246,17.516996383666992,21.774314880371094,12.183481216430664,21.185571670532227,9.002924919128418,46.472137451171875
2010-01-20,9.152355194091797,9.23310661315918,17.39883041381836,12.321006774902344,24.929153442382812,17.386899948120117,21.44093132019043,11.967062950134277,21.185571670532227,8.907916069030762,46.472137451171875
2010-01-21,9.055500984191895,8.969996452331543,17.04416847229004,12.16478443145752,24.388208389282227,17.139726638793945,20.94454002380371,11.449068069458008,21.185571670532227,8.778352737426758,46.472137451171875
2010-01-22,8.740741729736328,8.676299095153809,16.639270782470703,11.930453300476074,24.121543884277344,17.100696563720703,20.62596321105957,11.222002029418945,21.185571670532227,8.585453987121582,46.472137451171875
2010-01-25,8.81337833404541,8.725252151489258,16.748620986938477,11.992117881774902,24.121543884277344,17.13321876525879,20.759319305419922,11.321348190307617,21.185571670532227,8.643035888671875,46.472137451171875
2010-01-26,8.789165496826172,8.572286605834961,16.64222526550293,12.008564949035645,23.984405517578125,17.113704681396484,20.670412063598633,11.161689758300781,21.185571670532227,8.67758560180664,46.472137451171875
2010-01-27,8.861801147460938,8.780318260192871,16.57720375061035,12.029122352600098,24.152013778686523,17.152738571166992,20.72968864440918,11.065897941589355,21.185571670532227,8.62000560760498,46.472137451171875
2010-01-28,8.607568740844727,8.73748779296875,16.402843475341797,11.95923137664795,23.99964141845703,17.107202529907227,20.49260139465332,10.867215156555176,21.185571670532227,8.553783416748047,46.472137451171875
2010-01-29,8.458258628845215,8.676299095153809,16.107290267944336,11.885229110717773,23.8320255279541,17.042158126831055,20.285160064697266,10.693366050720215,21.185571670532227,8.501961708068848,46.472137451171875
2010-02-01,8.555113792419434,8.82315444946289,16.639270782470703,12.037342071533203,23.969165802001953,17.172250747680664,20.588912963867188,11.119118690490723,21.185571670532227,8.556661605834961,46.472137451171875
2010-02-02,8.639852523803711,8.908812522888184,16.857980728149414,12.20589828491211,24.464397430419922,17.41943359375,20.981576919555664,11.154595375061035,21.185571670532227,8.625762939453125,46.472137451171875
2010-02-03,8.660032272338867,8.810914993286133,16.71315574645996,12.214118003845215,24.136777877807617,17.295833587646484,20.85562515258789,11.02686882019043,21.185571670532227,8.565302848815918,46.472137451171875
2010-02-04,8.417906761169434,8.431556701660156,16.027490615844727,11.860564231872559,23.527267456054688,16.94458770751953,20.24070930480957,10.615313529968262,21.185571670532227,8.34073257446289,46.472137451171875
2010-02-05,8.502649307250977,8.529455184936523,16.030445098876953,11.827672958374023,23.489177703857422,16.8990535736084,20.15180778503418,10.813994407653809,21.185571670532227,8.326336860656738,46.472137451171875
2010-02-08,8.466329574584961,8.358129501342773,15.882671356201172,11.75367546081543,23.37489128112793,16.879539489746094,19.929536819458008,10.64014720916748,21.185571670532227,8.231328964233398,46.472137451171875
2010-02-09,8.538968086242676,8.443793296813965,16.216638565063477,11.934564590454102,23.557743072509766,17.081188201904297,20.314796447753906,10.899148941040039,21.185571670532227,8.31482219696045,46.472137451171875
2010-02-10,8.514758110046387,8.511098861694336,16.148672103881836,11.885229110717773,23.412975311279297,17.061674118041992,20.285160064697266,10.824641227722168,21.185571670532227,8.27739143371582,46.472137451171875
2010-02-11,8.603534698486328,8.529455184936523,16.423524856567383,12.025009155273438,23.57298469543457,17.198265075683594,20.588912963867188,11.009130477905273,21.185571670532227,8.326336860656738,46.472137451171875
2010-02-12,8.61967658996582,8.535571098327637,16.429431915283203,12.025009155273438,23.519651412963867,17.198265075683594,20.425918579101562,10.987842559814453,21.185571670532227,8.294666290283203,46.472137451171875
2010-02-16,8.748810768127441,8.713016510009766,16.816600799560547,12.218233108520508,23.725358963012695,17.373891830444336,20.907493591308594,11.26457691192627,21.185571670532227,8.438619613647461,46.472137451171875
2010-02-17,8.773025512695312,8.743607521057129,16.792957305908203,12.316898345947266,23.908214569091797,17.497478485107422,21.085308074951172,11.271676063537598,21.185571670532227,8.404070854187012,46.472137451171875
2010-02-18,8.82951831817627,8.798674583435059,16.887529373168945,12.395011901855469,24.022493362426758,17.60155487060547,21.27793312072754,11.392302513122559,21.185571670532227,8.450136184692383,46.472137451171875
2010-02-19,8.805304527282715,8.847626686096191,16.952552795410156,12.423786163330078,24.022493362426758,17.640586853027344,21.38164710998535,11.45616626739502,21.185571670532227,8.568177223205566,46.472137451171875
2010-02-22,8.789165496826172,8.963884353637695,16.71906280517578,12.419672966003418,23.953927993774414,17.640586853027344,21.396474838256836,11.406496047973633,21.185571670532227,8.522116661071777,46.472137451171875
2010-02-23,8.680204391479492,8.798674583435059,16.44125747680664,12.345678329467773,23.725358963012695,17.54300880432129,21.12234878540039,11.225553512573242,21.185571670532227,8.464532852172852,46.472137451171875
2010-02-24,8.764948844909668,8.951645851135254,16.544694900512695,12.506010055541992,23.900592803955078,17.653587341308594,21.337196350097656,11.197168350219727,21.185571670532227,8.47317123413086,46.472137451171875
2010-02-25,8.740741729736328,8.927166938781738,16.553558349609375,12.526566505432129,23.91583251953125,17.666606903076172,21.285337448120117,11.172334671020508,21.185571670532227,8.455896377563477,46.472137451171875
2010-02-26,8.752849578857422,8.982236862182617,16.591978073120117,12.547121047973633,23.92344856262207,17.582046508789062,21.366832733154297,11.175881385803223,21.185571670532227,8.38967514038086,46.472137451171875
2010-03-01,8.865836143493652,9.006712913513184,16.74567222595215,12.744452476501465,24.152013778686523,17.705629348754883,21.648366928100586,11.346183776855469,21.185571670532227,8.510599136352539,46.472137451171875
2010-03-02,8.85373306274414,9.037302017211914,16.884578704833984,12.678674697875977,24.235822677612305,17.770675659179688,21.685413360595703,11.441973686218262,21.185571670532227,8.536511421203613,46.472137451171875
2010-03-03,8.857766151428223,9.043424606323242,16.95846176147461,12.715676307678223,24.136777877807617,17.777183532714844,21.71504783630371,11.541315078735352,21.185571670532227,8.522116661071777,46.472137451171875
2010-03-04,8.894085884094238,9.13520336151123,16.869792938232422,12.830785751342773,24.06059455871582,17.83572006225586,21.81876564025879,11.619368553161621,21.185571670532227,8.539390563964844,46.472137451171875
2010-03-05,9.003042221069336,9.312647819519043,17.186038970947266,13.069233894348145,24.395828247070312,17.946304321289062,22.15216827392578,11.768379211425781,21.185571670532227,8.625762939453125,46.472137451171875
2010-03-08,9.051468849182129,9.331003189086914,17.159427642822266,13.102127075195312,24.251068115234375,17.881256103515625,22.048444747924805,11.768379211425781,21.185571670532227,8.625762939453125,46.472137451171875
2010-03-09,9.091821670532227,9.361600875854492,17.159427642822266,13.081562995910645,24.235822677612305,17.855236053466797,22.22624969482422,11.69387435913086,21.185571670532227,8.61424446105957,46.472137451171875
2010-03-10,9.152355194091797,9.465615272521973,17.310163497924805,13.110345840454102,24.251068115234375,17.829212188720703,22.27069854736328,11.697423934936523,21.185571670532227,8.6171236038208,46.472137451171875
2010-03-11,9.188669204711914,9.545160293579102,17.280607223510742,13.204898834228516,24.441537857055664,17.861738204956055,22.352201461791992,11.764832496643066,21.185571670532227,8.645918846130371,46.472137451171875
2010-03-12,9.180598258972168,9.508440017700195,17.28947639465332,13.241898536682129,24.25868797302246,17.874755859375,22.5003719329834,11.810954093933105,21.185571670532227,8.591215133666992,46.472137451171875
2010-03-15,9.172532081604004,9.508440017700195,17.112146377563477,13.22545337677002,24.418684005737305,18.011348724365234,22.5003719329834,11.807408332824707,21.185571670532227,8.622885704040527,46.472137451171875
2010-03-16,9.241133689880371,9.624700546264648,17.265832901000977,13.32412052154541,24.48724365234375,18.095909118652344,22.804134368896484,11.981254577636719,21.185571670532227,8.723649024963379,46.472137451171875
2010-03-17,9.269383430480957,9.740955352783203,17.454978942871094,13.389899253845215,24.494871139526367,18.17396354675293,22.841175079345703,12.048666954040527,21.185571670532227,8.752443313598633,46.472137451171875
2010-03-18,9.281486511230469,9.68588638305664,17.194896697998047,13.385788917541504,24.662490844726562,18.1934757232666,22.996761322021484,11.96351432800293,21.185571670532227,8.712138175964355,46.472137451171875
2010-03-19,9.22602653503418,9.62210750579834,16.988183975219727,13.345428466796875,24.653316497802734,18.13991355895996,22.904577255249023,11.833023071289062,21.185571670532227,8.702547073364258,46.472137451171875
2010-03-22,9.294841766357422,9.671168327331543,16.943693161010742,13.485464096069336,24.813844680786133,18.23135757446289,22.971487045288086,12.007246971130371,21.185571670532227,8.644453048706055,46.472137451171875
2010-03-23,9.383907318115234,9.750892639160156,17.00894546508789,13.539016723632812,24.9361572265625,18.375078201293945,23.231674194335938,12.163695335388184,21.185571670532227,8.679309844970703,46.472137451171875
2010-03-24,9.339378356933594,9.757025718688965,16.91107177734375,13.485464096069336,24.66860008239746,18.244426727294922,23.068134307861328,12.128138542175293,21.185571670532227,8.589263916015625,46.472137451171875
2010-03-25,9.355572700500488,9.799952507019043,16.626354217529297,13.563727378845215,24.569217681884766,18.218303680419922,23.053258895874023,11.886358261108398,21.185571670532227,8.534073829650879,46.472137451171875
2010-03-26,9.311040878295898,9.812219619750977,16.632282257080078,13.617274284362793,24.385759353637695,18.23135757446289,23.11273193359375,11.975251197814941,21.185571670532227,8.554408073425293,46.472137451171875
2010-03-29,9.339378356933594,9.824485778808594,16.955554962158203,13.637868881225586,24.645675659179688,18.316282272338867,23.320892333984375,12.103250503540039,21.185571670532227,8.658976554870605,46.472137451171875
2010-03-30,9.379860877990723,9.763157844543457,16.982250213623047,13.625514030456543,24.645675659179688,18.348936080932617,23.358062744140625,12.12103271484375,21.185571670532227,8.635738372802734,46.472137451171875
2010-03-31,9.351521492004395,9.781553268432617,17.059358596801758,13.526657104492188,24.561586380004883,18.244426727294922,23.224245071411133,12.060582160949707,21.185571670532227,8.615409851074219,46.472137451171875
2010-04-01,9.335329055786133,9.861282348632812,17.36187171936035,13.621395111083984,24.699174880981445,18.36201286315918,23.3729305267334,12.270359992980957,21.185571670532227,8.734501838684082,46.472137451171875
2010-04-05,9.444632530212402,9.959402084350586,17.670316696166992,13.786152839660645,24.630386352539062,18.36201286315918,23.54391098022461,12.419698715209961,21.185571670532227,8.786784172058105,46.472137451171875
2010-04-06,9.452729225158691,10.0636568069458,17.670316696166992,13.806747436523438,24.615095138549805,18.303220748901367,23.551349639892578,12.441033363342285,21.185571670532227,8.859407424926758,46.472137451171875
2010-04-07,9.416296005249023,10.026859283447266,17.495338439941406,13.757317543029785,24.508068084716797,18.185644149780273,23.41752815246582,12.362811088562012,21.185571670532227,8.77226448059082,46.472137451171875
2010-04-08,9.432485580444336,10.106585502624512,17.557615280151367,13.889124870300293,24.416336059570312,18.218303680419922,23.491878509521484,12.391253471374512,21.185571670532227,8.719977378845215,46.472137451171875
2010-04-09,9.505358695983887,10.143381118774414,17.744464874267578,13.992098808288574,24.523357391357422,18.316282272338867,23.625690460205078,12.412589073181152,21.185571670532227,8.783878326416016,46.472137451171875
2010-04-12,9.52559757232666,10.186312675476074,17.785982131958008,13.992098808288574,24.454561233520508,18.375078201293945,23.677724838256836,12.373478889465332,21.185571670532227,8.80711841583252,46.472137451171875
2010-04-13,9.553934097290039,10.192444801330566,17.72370147705078,14.066241264343262,24.477495193481445,18.316282272338867,23.71489715576172,12.327251434326172,21.185571670532227,8.76064395904541,46.472137451171875
2010-04-14,9.69157886505127,10.456148147583008,17.892757415771484,14.284543991088867,24.393402099609375,18.3424129486084,24.019699096679688,12.419698715209961,21.185571670532227,8.769357681274414,46.472137451171875
2010-04-15,9.736105918884277,10.413215637207031,17.889787673950195,14.346328735351562,24.324600219726562,18.309749603271484,24.250152587890625,12.419698715209961,21.185571670532227,8.766457557678223,46.472137451171875
2010-04-16,9.606563568115234,10.032997131347656,17.5872745513916,14.156848907470703,24.179353713989258,18.23135757446289,23.856149673461914,12.2063627243042,21.185571670532227,8.664787292480469,46.472137451171875
2010-04-19,9.626808166503906,10.131114959716797,17.611007690429688,14.181571960449219,24.378108978271484,18.303220748901367,23.811532974243164,12.20991325378418,21.185571670532227,8.673500061035156,46.472137451171875
2010-04-20,9.679431915283203,10.266032218933105,17.955039978027344,14.354567527770996,24.431631088256836,18.355478286743164,24.08660316467285,12.249032020568848,21.185571670532227,8.783878326416016,46.472137451171875
2010-04-21,9.699674606323242,10.204705238342285,17.937244415283203,14.4204683303833,24.0035343170166,18.355478286743164,24.250152587890625,12.217028617858887,21.185571670532227,8.792593002319336,46.472137451171875
2010-04-22,9.723962783813477,10.259902000427246,17.98172950744629,14.67996883392334,23.728336334228516,18.355478286743164,24.473182678222656,12.337919235229492,21.185571670532227,8.82164192199707,46.472137451171875
2010-04-23,9.748254776000977,10.29056453704834,18.41473960876465,14.692317008972168,23.965314865112305,18.309749603271484,24.621856689453125,12.448142051696777,21.185571670532227,8.891357421875,46.472137451171875
2010-04-26,9.736105918884277,10.131114959716797,18.352458953857422,14.807647705078125,23.71305274963379,18.270553588867188,24.673898696899414,12.50147819519043,21.185571670532227,8.859407424926758,46.472137451171875
2010-04-27,9.54583740234375,9.787689208984375,17.788951873779297,14.379281997680664,23.43784523010254,17.950483322143555,24.07916831970215,12.04636001586914,21.185571670532227,8.708355903625488,46.472137451171875
2010-04-28,9.574177742004395,9.928741455078125,17.969865798950195,14.329854011535645,23.59073829650879,18.094188690185547,24.250152587890625,12.192143440246582,21.185571670532227,8.798404693603516,46.472137451171875
